(0, 0), [1, 1]
(4, 0), [1, 0]
(12, 0), [1, 1]
(18, 0), [-1, 1]
(20, 0), [0, 1]
(23, 0), [-1, 1]
(24, 0), [1, 0]
(45, 0), [-1, 1]
(53, 0), [1, 1]
(54, 0), [1, 1]
(58, 0), [-1, 1]
(66, 0), [-1, 0]
(81, 0), [1, 1]
(98, 0), [-1, 0]
(100, 0), [1, 0]
(100, 0), [1, 1]
(104, 0), [1, 0]
(121, 0), [1, 0]
(4, 1), [-1, 1]
(16, 1), [1, 0]
(58, 1), [1, 0]
(69, 1), [-1, 1]
(77, 1), [-1, 0]
(83, 1), [-1, 0]
(90, 1), [-1, 1]
(90, 1), [1, 1]
(91, 1), [1, 1]
(94, 1), [1, 0]
(106, 1), [1, 1]
(110, 1), [-1, 1]
(111, 1), [1, 0]
(120, 1), [1, 0]
(4, 2), [-1, 0]
(13, 2), [-1, 1]
(53, 2), [1, 1]
(100, 2), [1, 0]
(116, 2), [-1, 0]
(122, 2), [-1, 1]
(8, 3), [-1, 1]
(30, 3), [-1, 0]
(30, 3), [-1, 1]
(30, 3), [1, -1]
(35, 3), [-1, 1]
(40, 3), [-1, -1]
(69, 3), [-1, 1]
(74, 3), [-1, -1]
(79, 3), [-1, 0]
(79, 3), [0, -1]
(90, 3), [-1, -1]
(90, 3), [0, 1]
(90, 3), [1, -1]
(91, 3), [-1, 1]
(100, 3), [1, -1]
(102, 3), [-1, -1]
(104, 3), [1, 1]
(106, 3), [-1, -1]
(106, 3), [1, -1]
(110, 3), [-1, -1]
(113, 3), [-1, 1]
(113, 3), [1, 0]
(119, 3), [-1, 0]
(119, 3), [0, -1]
(126, 3), [0, -1]
(126, 3), [1, 1]
(128, 3), [1, -1]
(0, 4), [1, -1]
(8, 4), [-1, -1]
(9, 4), [1, -1]
(18, 4), [-1, -1]
(19, 4), [0, 1]
(24, 4), [0, -1]
(24, 4), [1, 0]
(36, 4), [0, -1]
(36, 4), [0, 1]
(37, 4), [-1, 1]
(37, 4), [1, 0]
(43, 4), [1, 1]
(60, 4), [0, 1]
(69, 4), [-1, -1]
(85, 4), [-1, 1]
(106, 4), [-1, 0]
(111, 4), [1, 0]
(128, 4), [1, -1]
(7, 5), [0, 1]
(7, 5), [1, 0]
(7, 5), [1, 1]
(11, 5), [-1, -1]
(17, 5), [-1, 0]
(17, 5), [-1, 1]
(22, 5), [0, 1]
(22, 5), [1, 0]
(54, 5), [-1, -1]
(63, 5), [1, 1]
(69, 5), [-1, -1]
(69, 5), [-1, 1]
(69, 5), [1, 1]
(75, 5), [-1, -1]
(75, 5), [1, 1]
(77, 5), [-1, -1]
(77, 5), [-1, 1]
(87, 5), [0, 1]
(87, 5), [1, -1]
(98, 5), [-1, -1]
(98, 5), [1, 1]
(109, 5), [1, 0]
(113, 5), [-1, -1]
(113, 5), [1, 0]
(117, 5), [1, 1]
(127, 5), [0, -1]
(134, 5), [-1, -1]
(14, 6), [-1, -1]
(55, 6), [0, -1]
(59, 6), [1, -1]
(61, 6), [-1, -1]
(61, 6), [1, -1]
(69, 6), [1, 1]
(79, 6), [1, -1]
(81, 6), [1, -1]
(84, 6), [0, -1]
(102, 6), [1, -1]
(112, 6), [1, 1]
(117, 6), [-1, 0]
(8, 7), [-1, -1]
(8, 7), [0, 1]
(8, 7), [1, 1]
(20, 7), [1, 1]
(23, 7), [0, 1]
(24, 7), [-1, 1]
(24, 7), [1, 1]
(25, 7), [0, 1]
(31, 7), [1, 0]
(47, 7), [-1, 1]
(47, 7), [1, -1]
(48, 7), [0, -1]
(48, 7), [1, -1]
(54, 7), [-1, -1]
(54, 7), [1, 0]
(58, 7), [-1, 1]
(64, 7), [1, -1]
(64, 7), [1, 1]
(69, 7), [-1, -1]
(73, 7), [-1, -1]
(79, 7), [1, -1]
(101, 7), [-1, -1]
(121, 7), [1, 1]
(125, 7), [1, 1]
